él	ella
ellos	ellas
yo	yo
tú	tú
usted	usted
ustedes	ustedes
nosotros	nosotras
vosotros	vosotras
otro	otra
otros	otras
varios	varias
ciertos	ciertas
cierto	cierta
pocos	pocas
muchos	muchas
tantos	tantas
todos	todas
demasiados	demasiadas
unos	unas
alguno	alguna
algún	alguna
éste	ésta
ése	ésa
aquél	aquélla
aquello	aquella
aquellos	aquellas
aquéllos	aquéllas
tipo	tipa
tipazo	tipaza
presidente	presidenta
paparazzi	paparazzi
ejecutivo	ejecutiva
negociante	negocianta
hijo	hija
hijito	hijita
mijo	mija
mijito	mijita
intendente	intendenta
viceintendente	viceintendenta
manicuro	manicura
doctorcito	doctorcita
mayorcito	mayorcita
nuevecito	nuevecita
exponedor	exponedora
arbitrador	arbitradora
criticón	criticona
criticastro	criticastra
criticador	criticadora
figurante	figuranta
muerto	muerta
dormido	dormida
atento	atenta
disciplinario	disciplinaria
disciplinado	disciplinada
depositador	depositadora
adoptador	adoptadora
usuario	usuaria
conocido	conocida
amigo	amiga
amiguito	amiguita
rey	reina
virrey	virreina
zar	zarina
papa	papisa
zagal	zagala
eclesiástico	eclesiástica
provicario	provicaria
vicario	vicaria
infiltrado	infiltrada
penitente	penitenta
espadachín	espadachina
eugenésico	eugenésica
regente	regenta
pretendiente	pretendienta
concertino	concertina
farsante	farsanta
pajarero	pajarera
grosero	grosera
bedel	bedela
funámbulo	funámbula
académico	académica
antipático	antipática
autoritario	autoritaria
danzante	danzanta
palabrero	palabrera
filántropo	filántropa
zoroástrico	zoroástrica
fernandino	fernandina
liante	lianta
ético	ética
cronólogo	cronóloga
pedicuro	pedicura
confederado	confederada
antiacadémico	antiacadémica
anti-académico	anti-académica
bolivariano	bolivariana
micrográfico	micrográfica
humano	humana
favorito	favorita
maldito	maldita
individuo	individua
cliente	clienta
excliente	exclienta
exnovio	exnovia
ex-novio	ex-novia
jugador	jugadora
soldador	soldadora
jefe	jefa
escritor	escritora
técnico	técnica
ministro	ministra
campeón	campeona
viejo	vieja
viejecito	viejecita
darwiniano	darwiniana
físico	física
don	doña
candidato	candidata
alcalde	alcaldesa
enviado	enviada
querido	querida
famoso	famosa
famosillo	famosilla
secretario	secretaria
servidor	servidora
científico	científica
navegador	navegadora
productor	productora
enemigo	enemiga
propietario	propietaria
capitán	capitana
editor	editora
alumno	alumna
dueño	dueña
encargado	encargada
socio	socia
fundador	fundadora
europeo	europea
diputado	diputada
crítico	crítica
pintor	pintora
patrón	patrona
lindo	linda
conductor	conductora
marítimo	marítima
obispo	obispa
gato	gata
perro	perra
perrito	perrita
curioso	curiosa
meticuloso	meticulosa
escrupuloso	escrupulosa
minucioso	minuciosa
músico	música
americano	americana
samoamericano	samoamericana
empresario	empresaria
trabajador	trabajadora
loco	loca
detenido	detenida
conde	condesa
vecino	vecina
administrador	administradora
experto	experta
delantero	delantera
creador	creadora
gigante	giganta
santo	santa
invitado	invitada
desconocido	desconocida
latino	latina
funcionario	funcionaria
jurado	jurada
consumidor	consumidora
vicepresidente	vicepresidenta
acusado	acusada
desaparecido	desaparecida
externo	externa
investigador	investigadora
mantenido	mantenida
lógico	lógica
teutón	teutona
sucesor	sucesora
condenado	condenada
papá	mamá
universitario	universitaria
enfermo	enferma
casado	casada
gerente	gerenta
subgerente	subgerenta
exgerente	exgerenta
fotógrafo	fotógrafa
revolucionario	revolucionaria
animalístico	animalística
senador	senadora
enamorado	enamorada
embajador	embajadora
creativo	creativa
convencido	convencida
espectador	espectadora
defensor	defensora
operador	operadora
asesor	asesora
judío	judía
vendedor	vendedora
séptimo	séptima
dependiente	dependienta
diablo	diabla
mandatario	mandataria
lobo	loba
lobito	lobita
portero	portera
profeta	profetisa
corredor	corredora
concejal	concejala
mono	mona
derrotado	derrotada
agregado	agregada
sanitario	sanitaria
pastor	pastora
león	leona
colaborador	colaboradora
protector	protectora
químico	química
adoptado	adoptada
monitor	monitora
republicano	republicana
moderado	moderada
mecánico	mecánica
heredero	heredera
aficionado	aficionada
rector	rectora
tonto	tonta
tontito	tontita
tramposo	tramposa
traicionero	traicionera
embustero	embustera
nieto	nieta
nietito	nietita
holandés	holandesa
doméstico	doméstica
ciego	ciega
informático	informática
viajero	viajera
matemático	matemática
anciano	anciana
goleador	goleadora
ferroviario	ferroviaria
sabio	sabia
controlador	controladora
conservador	conservadora
dragón	dragona
innovador	innovadora
anónimo	anónima
obrero	obrera
flamenco	flamenca
narrador	narradora
comprador	compradora
guerrero	guerrera
gallego	gallega
voluntario	voluntaria
dictador	dictadora
parlamentario	parlamentaria
gordo	gorda
bibliotecario	bibliotecaria
predecesor	predecesora
gestor	gestora
vampiro	vampira
homónimo	homónima
directivo	directiva
veterano	veterana
valenciano	valenciana
ladrón	ladrona
nativo	nativa
luchador	luchadora
presentador	presentadora
pionero	pionera
catedrático	catedrática
bancario	bancaria
arquero	arquera
discípulo	discípula
conejo	coneja
conejito	conejita
sospechoso	sospechosa
emprendedor	emprendedora
esclavo	esclava
espabilado	espabilada
pícaro	pícara
tunante	tunanta
vencedor	vencedora
explorador	exploradora
promotor	promotora
contador	contadora
cazador	cazadora
distribuidor	distribuidora
organizador	organizadora
legislador	legisladora
cirujano	cirujana
publicitario	publicitaria
observador	observadora
comisario	comisaria
pasajero	pasajera
opositor	opositora
tutor	tutora
primitivo	primitiva
millonario	millonaria
dramaturgo	dramaturga
seguidor	seguidora
regulador	reguladora
magistrado	magistrada
empleador	empleadora
cordero	cordera
veterinario	veterinaria
criado	criada
redactor	redactora
cantautor	cantautora
portador	portadora
adversario	adversaria
rubio	rubia
amoroso	amorosa
campesino	campesina
didáctico	didáctica
partidario	partidaria
asturiano	asturiana
interino	interina
inventor	inventora
torero	torera
estadístico	estadística
pavo	pava
deudor	deudora
inspector	inspectora
desarrollador	desarrolladora
cuñado	cuñada
infante	infanta
astrónomo	astrónoma
tenedor	tenedora
párroco	párroca
ibérico	ibérica
instructor	instructora
mudo	muda
borracho	borracha
consultor	consultora
pariente	parienta
soltero	soltera
corrupto	corrupta
destinatario	destinataria
canario	canaria
reportero	reportera
inversor	inversora
emotivo	emotiva
serbio	serbia
estúpido	estúpida
