tipos	tipas
tipazos	tipazas
presidentes	presidentas
ejecutivos	ejecutivas
negociantes	negociantas
hijos	hijas
hijitos	hijitas
mijos	mijas
mijitos	mijitas
intendentes	intendentas
viceintendentes	viceintendentas
manicuros	manicuras
doctorcitos	doctorcitas
mayorcitos	mayorcitas
nuevecitos	nuevecitas
exponedores	exponedoras
arbitradores	arbitradoras
criticones	criticonas
criticastros	criticastras
criticadores	criticadoras
figurantes	figurantas
muertos	muertas
dormidos	dormidas
atentos	atentas
disciplinarios	disciplinarias
disciplinados	disciplinadas
depositadores	depositadoras
adoptadores	adoptadoras
usuarios	usuarias
conocidos	conocidas
amigos	amigas
amiguitos	amiguitas
reyes	reinas
virreyes	virreinas
zares	zarinas
papas	papisas
zagales	zagalas
eclesiásticos	eclesiásticas
provicarios	provicarias
vicarios	vicarias
infiltrados	infiltradas
penitentes	penitentas
espadachines	espadachinas
eugenésicos	eugenésicas
regentes	regentas
pretendientes	pretendientas
concertinos	concertinas
farsantes	farsantas
pajareros	pajareras
groseros	groseras
bedeles	bedelas
funámbulos	funámbulas
académicos	académicas
antipáticos	antipáticas
autoritarios	autoritarias
danzantes	danzantas
palabreros	palabreras
filántropos	filántropas
zoroástricos	zoroástricas
fernandinos	fernandinas
liantes	liantas
éticos	éticas
cronólogos	cronólogas
pedicuros	pedicuras
confederados	confederadas
antiacadémicos	antiacadémicas
anti-académicos	anti-académicas
bolivarianos	bolivarianas
micrográficos	micrográficas
humanos	humanas
favoritos	favoritas
malditos	malditas
individuos	individuas
clientes	clientas
exclientes	exclientas
exnovios	exnovias
ex-novios	ex-novias
jugadores	jugadoras
soldadores	soldadoras
jefes	jefas
escritores	escritoras
técnicos	técnicas
ministros	ministras
campeones	campeonas
viejos	viejas
viejecitos	viejecitas
darwinianos	darwinianas
físicos	físicas
dones	doñas
candidatos	candidatas
alcaldes	alcaldesas
enviados	enviadas
queridos	queridas
famosos	famosas
famosillos	famosillas
secretarios	secretarias
servidores	servidoras
científicos	científicas
navegadores	navegadoras
productores	productoras
enemigos	enemigas
propietarios	propietarias
capitanes	capitanas
editores	editoras
alumnos	alumnas
dueños	dueñas
encargados	encargadas
socios	socias
fundadores	fundadoras
europeos	europeas
diputados	diputadas
críticos	críticas
pintores	pintoras
patrones	patronas
lindos	lindas
conductores	conductoras
marítimos	marítimas
obispos	obispas
gatos	gatas
perros	perras
perritos	perritas
curiosos	curiosas
meticulosos	meticulosas
escrupulosos	escrupulosas
minuciosos	minuciosas
músicos	músicas
americanos	americanas
samoamericanos	samoamericanas
empresarios	empresarias
trabajadores	trabajadoras
locos	locas
detenidos	detenidas
condes	condesas
vecinos	vecinas
administradores	administradoras
expertos	expertas
delanteros	delanteras
creadores	creadoras
gigantes	gigantas
santos	santas
invitados	invitadas
desconocidos	desconocidas
latinos	latinas
funcionarios	funcionarias
jurados	juradas
consumidores	consumidoras
vicepresidentes	vicepresidentas
acusados	acusadas
desaparecidos	desaparecidas
externos	externas
investigadores	investigadoras
mantenidos	mantenidas
lógicos	lógicas
teutones	teutonas
sucesores	sucesoras
condenados	condenadas
papás	mamás
universitarios	universitarias
enfermos	enfermas
casados	casadas
gerentes	gerentas
subgerentes	subgerentas
exgerentes	exgerentas
fotógrafos	fotógrafas
revolucionarios	revolucionarias
animalísticos	animalísticas
senadores	senadoras
enamorados	enamoradas
embajadores	embajadoras
creativos	creativas
convencidos	convencidas
espectadores	espectadoras
defensores	defensoras
operadores	operadoras
asesores	asesoras
judíos	judías
vendedores	vendedoras
séptimos	séptimas
dependientes	dependientas
diablos	diablas
mandatarios	mandatarias
lobos	lobas
lobitos	lobitas
porteros	porteras
profetas	profetisas
corredores	corredoras
concejales	concejalas
monos	monas
derrotados	derrotadas
agregados	agregadas
sanitarios	sanitarias
pastores	pastoras
leones	leonas
colaboradores	colaboradoras
protectores	protectoras
químicos	químicas
adoptados	adoptadas
monitores	monitoras
republicanos	republicanas
moderados	moderadas
mecánicos	mecánicas
herederos	herederas
aficionados	aficionadas
rectores	rectoras
tontos	tontas
tontitos	tontitas
tramposos	tramposas
traicioneros	traicioneras
embusteros	embusteras
nietos	nietas
nietitos	nietitas
holandeses	holandesas
domésticos	domésticas
ciegos	ciegas
informáticos	informáticas
viajeros	viajeras
matemáticos	matemáticas
ancianos	ancianas
goleadores	goleadoras
ferroviarios	ferroviarias
sabios	sabias
controladores	controladoras
conservadores	conservadoras
dragones	dragonas
innovadores	innovadoras
anónimos	anónimas
obreros	obreras
flamencos	flamencas
narradores	narradoras
compradores	compradoras
guerreros	guerreras
gallegos	gallegas
voluntarios	voluntarias
dictadores	dictadoras
parlamentarios	parlamentarias
gordos	gordas
bibliotecarios	bibliotecarias
predecesores	predecesoras
gestores	gestoras
vampiros	vampiras
homónimos	homónimas
directivos	directivas
veteranos	veteranas
valencianos	valencianas
ladrones	ladronas
nativos	nativas
luchadores	luchadoras
presentadores	presentadoras
pioneros	pioneras
catedráticos	catedráticas
bancarios	bancarias
arqueros	arqueras
discípulos	discípulas
conejos	conejas
conejitos	conejitas
sospechosos	sospechosas
emprendedores	emprendedoras
esclavos	esclavas
espabilados	espabiladas
pícaros	pícaras
tunantes	tunantas
vencedores	vencedoras
exploradores	exploradoras
promotores	promotoras
contadores	contadoras
cazadores	cazadoras
distribuidores	distribuidoras
organizadores	organizadoras
legisladores	legisladoras
cirujanos	cirujanas
publicitarios	publicitarias
observadores	observadoras
comisarios	comisarias
pasajeros	pasajeras
opositores	opositoras
tutores	tutoras
primitivos	primitivas
millonarios	millonarias
dramaturgos	dramaturgas
seguidores	seguidoras
reguladores	reguladoras
magistrados	magistradas
empleadores	empleadoras
corderos	corderas
veterinarios	veterinarias
criados	criadas
redactores	redactoras
cantautores	cantautoras
portadores	portadoras
adversarios	adversarias
rubios	rubias
amorosos	amorosas
campesinos	campesinas
didácticos	didácticas
partidarios	partidarias
asturianos	asturianas
interinos	interinas
inventores	inventoras
toreros	toreras
estadísticos	estadísticas
pavos	pavas
deudores	deudoras
inspectores	inspectoras
desarrolladores	desarrolladoras
cuñados	cuñadas
infantes	infantas
astrónomos	astrónomas
tenedores	tenedoras
párrocos	párrocas
ibéricos	ibéricas
instructores	instructoras
mudos	mudas
borrachos	borrachas
consultores	consultoras
parientes	parientas
solteros	solteras
corruptos	corruptas
destinatarios	destinatarias
canarios	canarias
reporteros	reporteras
inversores	inversoras
emotivos	emotivas
serbios	serbias
estúpidos	estúpidas
payasos	payasas
constructores	constructoras
palestinos	palestinas
mojados	mojadas
precursores	precursoras
fracasados	fracasadas
guardianes	guardianas
enanos	enanas
acreedores	acreedoras
bizantinos	bizantinas
rústicos	rústicas
fanáticos	fanáticas
unitarios	unitarias
mensajeros	mensajeras
burros	burras
afiliados	afiliadas
ilustradores	ilustradoras
lanzadores	lanzadoras
graduados	graduadas
sudamericanos	sudamericanas
morenos	morenas
morenitos	morenitas
zorros	zorras
zorritos	zorritas
locutores	locutoras
antecesores	antecesoras
demandados	demandadas
raperos	raperas
procuradores	procuradoras
decanos	decanas
supervisores	supervisoras
místicos	místicas
mentores	mentoras
cachorros	cachorras
cachorritos	cachorritas
padrinos	madrinas
pescadores	pescadoras
notarios	notarias
subsecretarios	subsecretarias
beneficiarios	beneficiarias
siervos	siervas
marineros	marineras
salvadores	salvadoras
competidores	competidoras
sevillanos	sevillanas
patrocinadores	patrocinadoras
guerrilleros	guerrilleras
romeros	romeras
vagos	vagas
tiranos	tiranas
adictos	adictas
egresados	egresadas
patriarcas	matriarcas
carpinteros	carpinteras
seleccionadores	seleccionadoras
intermediarios	intermediarias
artesanos	artesanas
interlocutores	interlocutoras
mediadores	mediadoras
puertorriqueños	puertorriqueñas
andromedanos	andromedanas
conquistadores	conquistadoras
regidores	regidoras
correctores	correctoras
oradores	oradoras
cajeros	cajeras
exiliados	exiliadas
yernos	nueras
vigésimos	vigésimas
apoderados	apoderadas
jardineros	jardineras
burgueses	burguesas
ganaderos	ganaderas
pensadores	pensadoras
psíquicos	psíquicas
flacos	flacas
flaquitos	flaquitas
prematuros	prematuras
anotadores	anotadoras
noticieros	noticieras
navarros	navarras
agricultores	agricultoras
exportadores	exportadoras
tiradores	tiradoras
neoclásicos	neoclásicas
perdedores	perdedoras
colectores	colectoras
honorarios	honorarias
transmisores	transmisoras
ingenuos	ingenuas
murciélagos	murciélagas
eruditos	eruditas
destructores	destructoras
cofundadores	cofundadoras
ticos	ticas
jubilados	jubiladas
animadores	animadoras
cabrones	cabronas
clandestinos	clandestinas
peregrinos	peregrinas
instaladores	instaladoras
oriundos	oriundas
prefectos	prefectas
estudiosos	estudiosas
loros	loras
preparadores	preparadoras
auditores	auditoras
huérfanos	huérfanas
peones	peonas
sordos	sordas
laicos	laicas
tapados	tapadas
admiradores	admiradoras
limpiadores	limpiadoras
colorados	coloradas
multimillonarios	multimillonarias
refugiados	refugiadas
gatitos	gatitas
emuladores	emuladoras
